Firm Name,name,Cluster ID,Match Confidence
mahkota oils & fats pte. ltd.,mahkota oils fats   ,115,1.0
reed smith,reed smith,116,1.0
hfw (holman fenwick willan),hfw holman fenwick willan ,117,1.0
clyde & co,clyde co,118,1.0
stephenson harwood,stephenson harwood,119,1.0
watson farley & williams,watson farley williams,120,1.0
ince & co singapore llp,ince co singapore llp,121,1.0
norton rose fulbright,norton rose fulbright,122,1.0
baker mckenzie,baker mckenzie,123,1.0
squire patton boggs,squire patton boggs,124,1.0
hill dickinson,hill dickinson,125,1.0
mayer brown llp,mayer brown llp,126,1.0
latham & watkins llp,latham watkins llp,127,1.0
rajah & tann,rajah tann,128,1.0
allen & gledhill,allen gledhill,129,1.0
drew & napier,drew napier,130,1.0
wongpartnership,wongpartnership,131,1.0
helmsman llc,helmsman llc,132,1.0
blackstone & gold,blackstone gold,133,1.0
braddell brothers llp,braddell brothers llp,134,1.0
joseph tan jude benny llp,joseph tan jude benny llp,135,1.0
dentons rodyk & davidson llp,dentons rodyk davidson llp,136,1.0
oon & bazul llc,oon bazul llc,137,1.0
pdlegal llc,pdlegal llc,138,1.0
shook lin & bok llp,shook lin bok llp,139,1.0
tsmp law corporation,tsmp law corporation,140,1.0
virtus law llp,virtus law llp,141,1.0
dennismathiew,dennismathiew,142,1.0
asialegal llc,asialegal llc,143,1.0
"christopher lau, sc",christopher lau sc,144,1.0
dunbar & lim chambers llc,dunbar lim chambers llc,145,1.0
haridass ho & partners,haridass ho partners,146,1.0
gill arbitration services,gill arbitration services,147,1.0
pk wong & nair llc,pk wong nair llc,148,1.0
providence law asia llc,providence law asia llc,149,1.0
lvm law chambers llc,lvm law chambers llc,150,1.0
incisive law llc,incisive law llc,151,1.0
damodara ong llc,damodara ong llc,152,1.0
focus law asia llc,focus law asia llc,153,1.0
resource law llc,resource law llc,154,1.0
uniper global commodities se singapore branch,uniper global commodities se singapore branch,155,1.0
china merchants energy shipping (singapore) holding pte. ltd.,china merchants energy shipping singapore holding   ,156,1.0
sinopec,sinopec,7,0.5627008676528931
trafigura maritime logistics pte ltd,trafigura maritime logistics  ,157,1.0
