Firm Name,name
equatorial marine fuel management services,equatorial marine fuel management services
ed&f man capital markets (singapore) pte. ltd.,ed f man capital markets singapore   
trafigura,trafigura
olam international,olam international
icici bank singapore branch,icici bank singapore branch
trafigura pte ltd,trafigura  
trafigura,trafigura
bw energy holdings pte ltd,bw energy holdings  
hsbc singapore entities,hsbc singapore entities
glory bulk carriers pte ltd,glory bulk carriers  
tcc group / tai chong cheang shipping (singapore) pte ltd.,tcc group tai chong cheang shipping singapore   
louis dreyfus company asia pte. ltd. / ldc in singapore,louis dreyfus company asia   ldc in singapore
shell singapore pte. ltd,shell singapore  
shell eastern trading (pte) ltd,shell eastern trading  
trafigura pte ltd,trafigura  
ocean network express pte. ltd.,ocean network express   
sumifru singapore pte ltd,sumifru singapore  
sinopec international (singapore) pte ltd,sinopec international singapore  
sumifru singapore pte ltd,sumifru singapore  
jsw international tradecorp pte ltd (jsw),jsw international tradecorp   jsw 
st telemedia global data centres (telemedia global data centres),st telemedia global data centres telemedia global data centres 
bts tankers pte ltd,bts tankers  
dbs bank,dbs bank
united overseas bank (uob),united overseas bank uob 
oversea-chinese banking corporation (ocbc),oversea chinese banking corporation ocbc 
metro holdings limited,metro holdings 
razer,razer
first resources limited,first resources 
first sponsor group limited,first sponsor group 
dbs,dbs
united overseas bank (uob),united overseas bank uob 
straits bunkering pte ltd,straits bunkering  
avani resources pte. ltd,avani resources  
alvari pte. ltd.,alvari   
bafco singapore pte. ltd,bafco singapore  
the singapore medical council (smc),the singapore medical council smc 
basf intertrade ag singapore branch,basf intertrade ag singapore branch
fti consulting (singapore) pte. ltd.,fti consulting singapore   
oversea-chinese banking corporation (ocbc),oversea chinese banking corporation ocbc 
boustead projects limited,boustead projects 
thomson medical group (tmg),thomson medical group tmg 
ocbc bank (oversea-chinese banking corporation limited),ocbc bank oversea chinese banking corporation  
winson oil trading pte ltd,winson oil trading  
winson oil trading pte ltd,winson oil trading  
louis dreyfus company asia pte. ltd.,louis dreyfus company asia   
standard chartered bank (singapore) limited (scb),standard chartered bank singapore  scb 
halcyon agri corporation limited,halcyon agri corporation 
seraya energy,seraya energy
kpmg,kpmg
mizuho bank,mizuho bank
perennial real estate holdings,perennial real estate holdings
ho lee construction,ho lee construction
westbridge ventures ii investment holdings,westbridge ventures ii investment holdings
standard chartered bank (singapore) limited (scb),standard chartered bank singapore  scb 
atlantic navigation holdings (singapore) limited,atlantic navigation holdings singapore 
royal global exports pte ltd,royal global exports  
louis dreyfus asia pte ltd / louis dreyfus company asia pte. ltd.,louis dreyfus asia   louis dreyfus company asia   
marina offshore pte ltd,marina offshore  
maybank singapore (maybank singapore limited),maybank singapore maybank singapore  
petrochina international (singapore) pte. ltd,petrochina international singapore  
pricewaterhousecoopers (pwc singapore),pricewaterhousecoopers pwc singapore 
gtp advisory (gtp advisory pac),gtp advisory gtp advisory pac 
gp global apac pte. ltd.,gp global apac   
ms first capital insurance (limited),ms first capital insurance  
united overseas bank (uob),united overseas bank uob 
unipec singapore pte. ltd.,unipec singapore   
grabtaxi holdings pte ltd,grabtaxi holdings  
winson oil trading pte ltd,winson oil trading  
cye,cye
argoglobal underwriting asia pacific pte ltd,argoglobal underwriting asia pacific  
china taiping insurance (singapore) pte ltd,china taiping insurance singapore  
great american insurance company,great american insurance company
ms first capital insurance limited,ms first capital insurance 
qbe insurance (singapore) pte ltd,qbe insurance singapore  
maersk tankers singapore,maersk tankers singapore
ing,ing
société générale,soci t g n rale
bnp paribas,bnp paribas
rabobank,rabobank
standard chartered,standard chartered
dbs,dbs
ocbc,ocbc
uob,uob
mufg,mufg
smbc,smbc
crédit agricole,cr dit agricole
hsbc,hsbc
natixis,natixis
"bank of china, singapore branch",bank of china singapore branch
"china construction bank, singapore branch",china construction bank singapore branch
"icbc, singapore branch",icbc singapore branch
"agricultural bank of china, singapore branch",agricultural bank of china singapore branch
"shanghai pudong development bank (spdb), singapore branch",shanghai pudong development bank spdb singapore branch
"mufg bank, singapore branch",mufg bank singapore branch
"macquarie bank, singapore branch",macquarie bank singapore branch
"commonwealth bank of australia (cba), singapore branch",commonwealth bank of australia cba singapore branch
"anz bank, singapore branch",anz bank singapore branch
"westpac banking corporation, singapore branch",westpac banking corporation singapore branch
"national australia bank (nab), singapore branch",national australia bank nab singapore branch
"cimb bank berhad, singapore branch",cimb bank berhad singapore branch
"maybank singapore ltd / malayan banking berhad, singapore branch",maybank singapore  malayan banking berhad singapore branch
"rhb bank berhad, singapore branch",rhb bank berhad singapore branch
"bank of east asia (bea), singapore branch",bank of east asia bea singapore branch
"state bank of india, singapore branch",state bank of india singapore branch
"dz bank ag, singapore branch",dz bank ag singapore branch
"deutsche bank ag, singapore branch",deutsche bank ag singapore branch
"commerzbank ag, singapore branch",commerzbank ag singapore branch
"citibank n.a. / citi, singapore branch",citibank n a citi singapore branch
"goldman sachs, singapore branch",goldman sachs singapore branch
"jpmorgan chase bank, singapore branch",jpmorgan chase bank singapore branch
"bbva, singapore branch",bbva singapore branch
"bank of america, singapore branch",bank of america singapore branch
ossiano,ossiano
copap,copap
tradeflow capital,tradeflow capital
mercore,mercore
audentia,audentia
ed&f man capital,ed f man capital
czarnikow,czarnikow
sucden financial,sucden financial
